# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
10000 400
298 5.95 1.00553
299 5.97 1.00416
300 5.99 1.00366
301 6.01 1.0029
302 6.03 1.00103
303 6.05 1.0024
304 6.07 0.9988
305 6.09 0.998538
306 6.11 0.997191
307 6.13 0.99638
308 6.15 0.996804
309 6.17 0.995663
310 6.19 0.995783
311 6.21 0.994476
312 6.23 0.994049
313 6.25 0.993639
314 6.27 0.994811
315 6.29 0.994487
316 6.31 0.992868
317 6.33 0.992783
318 6.35 0.993554
319 6.37 0.993872
320 6.39 0.996838
321 6.41 0.996838
322 6.43 0.998464
323 6.45 0.996636
324 6.47 0.998245
325 6.49 0.999644
326 6.51 1.00034
327 6.53 1.00109
328 6.55 1.00141
329 6.57 1.0012
330 6.59 1.00382
331 6.61 1.00297
332 6.63 1.00305
333 6.65 1.00281
334 6.67 1.00375
335 6.69 1.00519
336 6.71 1.00367
337 6.73 1.00407
338 6.75 1.00409
339 6.77 1.00362
340 6.79 1.00471
341 6.81 1.00337
342 6.83 1.00322
343 6.85 1.00456
344 6.87 1.00362
345 6.89 1.0031
346 6.91 1.00298
347 6.93 1.00092
348 6.95 1.00126
349 6.97 1.00141
350 6.99 1.00083
351 7.01 1.00076
352 7.03 0.998437
353 7.05 0.9983
354 7.07 0.998767
355 7.09 0.998236
356 7.11 0.998132
357 7.13 0.99731
358 7.15 0.997278
359 7.17 0.997351
360 7.19 0.997699
361 7.21 0.998556
362 7.23 0.996265
363 7.25 0.995632
364 7.27 0.99794
365 7.29 0.998109
366 7.31 0.997982
367 7.33 0.997961
368 7.35 0.998716
369 7.37 0.998542
370 7.39 0.998695
371 7.41 0.999269
372 7.43 0.999525
373 7.45 1.00001
374 7.47 1.00039
375 7.49 1.00103
376 7.51 1.00223
377 7.53 1.00215
378 7.55 1.00096
379 7.57 1.00179
380 7.59 1.0016
381 7.61 1.00255
382 7.63 1.00224
383 7.65 1.00267
384 7.67 1.00133
385 7.69 1.00318
386 7.71 1.00188
387 7.73 1.001
388 7.75 1.00142
389 7.77 1.00138
390 7.79 1.00259
391 7.81 1.00058
392 7.83 1.00079
393 7.85 1.00255
394 7.87 1.00115
395 7.89 1.00139
396 7.91 1.00064
397 7.93 0.999678
398 7.95 0.999697
399 7.97 1.00089
400 7.99 0.999638
